Filter (X),"$A_{X}/A_{
u}$$^1$ (LMC)","$A_{X}/A_{
u}$$^1$ (SMC)",Vega to AB
UVW2,2.644541680555541,3.522767303652845,1.7050012647611401
UVM2,2.7233599880955124,3.062652780996107,1.659266215883957
UVW1,2.3536449902431045,2.7436011426496876,1.4894154432109854
U,1.5634790597438197,1.746851127566682,0.7610636846564574
B,1.3170082045312625,1.4073996800012445,-0.11047390759470008
V,1.0333402844940784,1.0353852912271932,-0.0007012070115809405
I,0.7366865234305091,0.5911705440475679,0.4913992837111252
