SUMS_ID,Galaxy,RA,Dec,Ranking,UVW2,UVW2_err,UVM2,UVM2_err,UVW1,UVW1_err,U,U_err,B,B_err,V,V_err,I,I_err,UVW2_std,UVM2_std,UVW1_std,UVW2_flux_frac,UVM2_flux_frac,UVW1_flux_frac,UVW2_resid_frac,UVM2_resid_frac,UVW1_resid_frac,UVW2_dist_moved,UVM2_dist_moved,UVW1_dist_moved,UVW2_dist_neighbor,UVM2_dist_neighbor,UVW1_dist_neighbor,UVW2_n5,UVM2_n5,UVW1_n5,UVW2_n2p5,UVM2_n2p5,UVW1_n2p5,UVW2_nobs,UVM2_nobs,UVW1_nobs,Gaia_chi2
SUMS_c371f,SMC,15.83232,-72.09754000000002,VB-E,19.17,0.08,19.14,0.15,19.22,0.11,20.269063684656455,0.091,19.710526092405303,0.066,19.94529879298842,0.067,20.510399283711124,0.139,0.13,0.05,0.09,0.65,0.61,0.7,0.23,0.28,0.23,0.02,0.02,0.02,2.95,2.96,2.97,1.0,1.0,1.0,0,0,0,5.0,2.0,4.0,0.3
SUMS_c3735,SMC,15.832725,-72.04541,B-E,18.76,0.11,18.72,0.17,18.76,0.18,19.175063684656457,0.052,18.8515260924053,0.038,19.28529879298842,0.063,19.708399283711124,0.086,0.05,,,0.49,0.39,0.45,0.24,0.25,0.3,0.03,0.03,0.03,4.31,4.28,5.15,1.0,1.0,,0,0,0,2.0,1.0,1.0,4.8
SUMS_c3781,SMC,15.834285,-72.11610999999998,B-E,18.87,0.08,18.77,0.18,18.74,0.1,18.995063684656454,0.09,18.7925260924053,0.07,19.25429879298842,0.08,19.728399283711124,0.079,0.19,,0.0,0.43,0.48,0.46,0.24,0.26,0.27,0.04,0.02,0.04,1.53,1.54,1.54,2.0,2.0,2.0,1,1,1,4.0,1.0,3.0,1.3
SUMS_c379e,SMC,15.834915,-72.3528,B-G,19.31,0.08,19.23,0.13,19.13,0.08,19.730063684656457,0.062,19.2405260924053,0.12,19.55129879298842,0.0579999999999999,19.627399283711124,0.119,0.42,,0.11,0.12,0.11,0.1,0.22,0.24,0.15,0.04,0.05,0.04,3.57,3.63,3.6,2.0,2.0,2.0,0,0,0,4.0,1.0,4.0,3.4
SUMS_c3862,SMC,15.839069999999998,-72.05185,B-G,18.45,0.05,18.15,0.05,18.28,0.08,18.495063684656454,0.07,18.4435260924053,0.03,18.63329879298842,0.04,19.555399283711125,0.123,0.1,0.04,0.02,0.26,0.28,0.28,0.17,0.23,0.15,0.03,0.04,0.01,3.61,3.59,3.64,3.0,3.0,3.0,0,0,0,6.0,5.0,3.0,0.1
SUMS_c386e,SMC,15.839325,-72.02601999999997,VB-G,19.69,0.14,19.63,0.19,19.5,,20.276063684656457,0.092,19.7765260924053,0.061,20.56829879298843,0.205,20.478399283711124,0.09,0.13,0.16,,0.36,0.34,0.37,0.23,0.27,0.16,0.01,0.01,0.01,4.5,4.53,4.52,1.0,1.0,1.0,0,0,0,3.0,2.0,1.0,2.9
SUMS_c3883,SMC,15.839715000000002,-72.03733000000003,VB-G,19.11,0.14,18.86,0.2,18.98,0.15,19.343063684656457,0.053,19.250526092405305,0.064,19.57629879298842,0.14,20.024399283711126,0.107,,,,0.22,0.25,0.24,0.29,0.29,0.23,0.02,0.01,0.03,2.93,2.9,2.93,3.0,2.0,3.0,0,0,0,1.0,1.0,1.0,1.5
SUMS_c38cc,SMC,15.841245,-72.0974,VB-E,19.21,0.07,19.01,0.07,19.08,0.1,19.524063684656458,0.09,19.3725260924053,0.1009999999999999,19.63729879298842,0.124,20.179399283711124,0.104,0.19,0.18,0.13,0.44,0.48,0.53,0.05,0.08,0.01,0.05,0.05,0.06,4.36,4.35,4.39,1.0,1.0,1.0,0,0,0,8.0,7.0,3.0,1.3
SUMS_c38e9,SMC,15.84189,-72.11801,VB-G,19.59,0.17,,,19.48,0.18,20.316063684656456,0.084,20.2095260924053,0.064,20.507298792988426,0.0819999999999999,20.646399283711126,0.108,0.3,,0.05,0.29,,0.34,0.15,,0.27,0.04,,0.02,3.38,,3.38,1.0,,1.0,0,0,0,2.0,,2.0,2.7
SUMS_c38f5,SMC,15.842085,-72.05144,B-G,19.25,0.13,19.0,0.11,19.25,0.18,19.792063684656455,0.071,19.3855260924053,0.043,19.49329879298842,0.0409999999999999,20.095399283711124,0.06,0.02,0.08,0.34,0.11,0.11,0.11,0.19,0.27,0.22,0.01,0.01,0.01,2.85,2.88,2.86,3.0,3.0,3.0,0,0,0,5.0,3.0,2.0,1.9
SUMS_c3902,SMC,15.842445,-72.02051,B-E,19.41,0.11,19.36,0.13,,,19.564063684656457,0.073,19.2375260924053,0.052,19.61029879298842,0.078,20.11139928371113,0.103,0.09,0.01,,0.95,0.95,,0.18,0.18,,0.02,0.01,,6.25,6.26,,,,,0,0,0,4.0,3.0,,2.0
SUMS_c3956,SMC,15.84402,-72.0983,B-G,19.01,0.08,18.9,0.18,19.26,0.17,19.621063684656455,0.062,19.1675260924053,0.042,19.28529879298842,0.047,20.210399283711126,,0.02,,0.02,0.26,0.25,0.23,0.28,0.28,0.26,0.02,0.01,0.01,3.93,3.95,3.97,2.0,2.0,2.0,0,0,0,3.0,1.0,2.0,0.0
SUMS_c399a,SMC,15.845745,-72.0863,B-E,18.86,0.07,18.76,0.08,18.9,0.09,18.74806368465646,0.081,18.8105260924053,0.069,19.399298792988414,0.072,19.850399283711127,0.073,0.06,0.14,0.07,0.52,0.55,0.52,0.21,0.26,0.21,0.04,0.05,0.04,3.6,3.6,3.57,2.0,2.0,2.0,0,0,0,5.0,4.0,4.0,0.2
SUMS_c3a3b,SMC,15.84942,-72.02717,B-E,18.4,0.06,18.42,0.09,18.53,0.09,18.770063684656456,0.05,18.6195260924053,0.063,19.17129879298842,0.12,19.43939928371113,0.066,0.06,0.1,0.02,0.85,0.84,0.84,0.19,0.27,0.26,0.03,0.04,0.02,5.36,5.33,5.34,,,,0,0,0,4.0,2.0,2.0,0.3
SUMS_c3a3c,SMC,15.849435,-72.08993000000002,VB-G,19.26,0.1,19.1,0.17,19.29,0.17,19.723063684656456,0.07,19.5085260924053,0.067,19.94829879298842,0.1169999999999999,20.269399283711124,0.092,0.07,,0.07,0.33,0.34,0.29,0.26,0.26,0.27,0.01,0.02,0.01,2.63,2.65,2.62,3.0,3.0,3.0,0,0,0,3.0,1.0,2.0,4.5
SUMS_c3a41,SMC,15.849570000000002,-72.09498,B-G,19.4,0.09,19.31,0.12,19.35,0.13,19.758063684656456,0.07,19.4305260924053,0.051,19.67929879298842,0.068,20.088399283711126,0.096,0.18,0.09,0.18,0.37,0.3,0.39,0.08,0.23,0.03,0.06,0.05,0.05,2.46,2.48,2.45,2.0,2.0,2.0,1,1,1,5.0,4.0,3.0,2.7
SUMS_c3b41,SMC,15.855465,-72.09489,B-G,18.2,0.04,18.11,0.07,18.33,0.06,18.733063684656457,0.071,18.544526092405302,0.057,18.85229879298842,0.054,19.665399283711125,0.083,0.12,0.1,0.02,0.33,0.34,0.31,0.24,0.24,0.24,0.08,0.09,0.07,3.68,3.63,3.69,2.0,2.0,2.0,0,0,0,6.0,2.0,3.0,1.5
SUMS_c3bb8,SMC,15.858405,-72.0237,VB-E,19.52,0.17,19.44,0.21,19.4,0.21,20.537063684656456,0.182,19.538526092405306,0.081,20.01629879298842,0.1119999999999999,20.636399283711125,0.183,0.1,,,0.42,0.42,0.42,0.21,0.29,0.19,0.01,0.01,0.02,1.52,1.53,1.54,1.0,1.0,1.0,1,1,1,2.0,1.0,1.0,0.3
SUMS_c3c39,SMC,15.86145,-72.06491,B-G,18.71,0.06,18.79,0.21,18.77,0.22,19.034063684656456,0.0559999999999999,18.928526092405303,0.038,19.18829879298842,0.04,19.802399283711125,0.07,0.11,,,0.37,0.33,0.35,0.21,0.23,0.24,0.03,0.02,0.01,3.25,3.26,3.25,3.0,3.0,3.0,0,0,0,5.0,1.0,1.0,4.2
SUMS_c3c6d,SMC,15.8628,-72.03976,VB-E,19.2,0.1,,,19.27,0.2,20.469063684656454,0.123,19.8535260924053,0.052,20.20529879298842,0.152,21.030399283711127,0.171,0.05,,0.07,0.58,,0.59,0.19,,0.15,0.03,,0.02,4.27,,4.3,1.0,,1.0,0,0,0,4.0,,2.0,5.4
SUMS_c3cde,SMC,15.865695,-72.05873000000003,B-E,18.8,0.09,18.78,0.18,18.45,0.11,18.982063684656456,0.05,18.649526092405303,0.034,19.16729879298842,0.099,19.417399283711124,0.07,0.09,,,0.5,0.46,0.56,0.25,0.3,0.27,0.03,0.02,0.06,3.53,3.53,3.57,2.0,2.0,1.0,0,0,0,3.0,1.0,1.0,0.4
SUMS_c3d19,SMC,15.86691,-72.05781999999998,VB-G,19.25,0.17,18.91,0.2,18.96,0.17,19.691063684656456,0.083,19.4095260924053,0.075,20.44229879298842,,20.467399283711124,0.146,0.06,,0.19,0.35,0.41,0.41,0.21,0.25,0.27,0.02,0.02,0.02,2.56,2.56,2.55,2.0,2.0,2.0,0,0,0,2.0,1.0,2.0,1.5
SUMS_c3d3b,SMC,15.867525,-72.12052,B-G,19.2,0.07,19.16,0.11,19.31,0.11,19.274063684656458,0.049,19.3285260924053,0.12,19.41629879298842,0.04,20.112399283711124,0.096,0.09,0.04,0.1,0.35,0.35,0.37,0.21,0.23,0.18,0.02,0.02,0.02,2.9,2.92,2.89,4.0,4.0,4.0,0,0,0,7.0,3.0,4.0,5.3
SUMS_c3df1,SMC,15.871365,-72.10735,B-G,19.06,0.08,,,19.14,0.12,19.534063684656456,0.06,19.079526092405303,0.034,19.36829879298842,0.051,19.970399283711124,0.096,0.11,,0.02,0.28,,0.28,0.23,,0.25,0.02,,0.02,3.07,,3.07,2.0,,2.0,0,0,0,4.0,,2.0,0.0
SUMS_c3df2,SMC,15.871379999999998,-72.307,VB-G,19.36,0.06,19.24,0.07,19.44,0.08,20.497063684656457,0.106,19.986526092405303,0.0579999999999999,20.11329879298842,0.067,20.88739928371113,0.153,0.21,0.19,0.19,0.33,0.36,0.31,0.14,0.17,0.15,0.03,0.02,0.02,1.95,1.95,1.97,2.0,2.0,2.0,1,1,1,7.0,7.0,6.0,8.7
SUMS_c3df9,SMC,15.87147,-72.03875,B-E,18.21,0.06,18.19,0.11,18.16,0.08,18.53006368465646,0.1009999999999999,18.3685260924053,0.035,18.681298792988414,0.052,19.280399283711127,0.085,0.08,,0.06,1.0,0.88,1.0,0.17,0.29,0.19,0.03,0.01,0.02,8.35,5.49,8.41,,,,0,0,0,4.0,1.0,2.0,0.4
SUMS_c3e56,SMC,15.87375,-72.03211999999998,VB-E,19.49,0.11,19.17,0.14,19.08,0.16,19.200063684656456,0.067,19.3455260924053,0.0559999999999999,19.745298792988415,0.108,20.286399283711127,0.145,0.04,0.0,,0.46,0.49,0.51,0.21,0.27,0.18,0.03,0.03,0.05,1.66,1.68,1.71,2.0,2.0,2.0,1,1,1,5.0,2.0,1.0,0.3
SUMS_c3f24,SMC,15.87849,-72.05637,VB-G,19.35,0.13,19.19,,19.11,0.18,20.081063684656456,0.113,19.7035260924053,0.067,19.91829879298842,0.072,20.209399283711125,0.092,0.05,,,0.25,0.22,0.23,0.25,0.27,0.29,0.02,0.02,0.03,3.54,3.57,3.55,3.0,3.0,3.0,0,0,0,4.0,1.0,1.0,4.4
SUMS_c3fcd,SMC,15.8823,-72.04146,B-E,18.22,0.04,,,18.27,0.07,18.736063684656457,0.081,18.5305260924053,0.09,18.89229879298842,0.126,19.306399283711126,0.072,0.09,,0.15,0.44,,0.4,0.16,,0.21,0.06,,0.03,1.3,,1.28,3.0,,3.0,1,0,1,6.0,,4.0,2.2
SUMS_c408b,SMC,15.886515,-72.11073,B-G,18.21,0.03,18.14,0.08,18.29,0.06,18.708063684656455,0.05,18.5745260924053,0.054,18.87829879298842,0.054,19.51239928371113,0.071,0.19,0.02,0.12,0.37,0.37,0.35,0.04,0.23,0.24,0.06,0.03,0.03,2.03,2.04,2.01,2.0,2.0,2.0,1,1,1,8.0,2.0,3.0,4.1
SUMS_c40cf,SMC,15.88782,-72.03503,VB-G,19.77,0.18,19.65,0.2,,,20.824063684656455,0.154,20.1505260924053,0.057,20.34929879298842,0.066,21.118399283711124,0.216,0.01,0.22,,0.13,0.13,,0.19,0.24,,0.0,0.01,,2.89,2.87,,3.0,4.0,,0,0,0,2.0,2.0,,1.0
SUMS_c410e,SMC,15.88923,-72.02982,B-E,19.26,0.13,18.94,0.15,18.99,0.13,19.650063684656455,0.1009999999999999,18.9815260924053,0.036,19.22229879298842,0.042,19.968399283711125,0.074,0.13,,0.12,0.79,0.82,0.77,0.23,0.25,0.25,0.02,0.01,0.02,5.28,5.28,5.3,,,,0,0,0,3.0,1.0,2.0,4.1
SUMS_c423c,SMC,15.896085,-72.0882,VB-E,19.24,0.09,19.24,0.19,19.36,0.17,19.715063684656457,0.111,19.7665260924053,0.062,19.63629879298842,0.074,20.328399283711125,0.1009999999999999,0.09,0.05,0.01,0.42,0.43,0.43,0.2,0.25,0.17,0.02,0.02,0.01,3.54,3.54,3.55,2.0,2.0,2.0,0,0,0,5.0,2.0,2.0,2.5
SUMS_c4300,SMC,15.90024,-72.10077,B-G,19.16,0.1,19.1,0.11,19.42,0.15,19.409063684656456,0.0579999999999999,19.0635260924053,0.039,19.33929879298842,0.107,,,0.02,0.04,0.0,0.17,0.18,0.14,0.27,0.23,0.22,0.03,0.01,0.02,2.72,2.71,2.71,3.0,3.0,3.0,0,0,0,4.0,3.0,3.0,0.1
SUMS_c435e,SMC,15.90228,-72.10559,VB-G,18.57,0.07,18.93,0.1,18.94,0.09,19.824063684656455,0.06,19.3425260924053,0.039,19.52929879298842,0.063,19.91039928371113,0.07,0.09,0.08,0.11,0.13,0.08,0.09,0.21,0.24,0.26,0.06,0.02,0.04,2.74,2.66,2.74,3.0,3.0,3.0,0,0,0,2.0,3.0,3.0,3.2
SUMS_c44bc,SMC,15.91065,-72.08868000000002,B-E,16.48,0.02,16.5,0.02,16.6,0.03,16.819063684656456,0.043,16.928526092405303,0.0279999999999999,17.399298792988418,0.039,17.963399283711126,0.048,0.03,0.05,0.06,0.91,0.9,0.89,0.06,0.1,0.08,0.15,0.16,0.13,2.83,2.89,2.94,3.0,3.0,2.0,0,0,0,7.0,7.0,5.0,0.9
SUMS_c4517,SMC,15.912720000000002,-72.02385,B-G,18.82,0.06,18.58,0.1,18.77,0.11,18.714063684656455,0.043,18.8485260924053,0.048,18.67329879298842,0.066,19.65739928371113,0.07,0.08,0.01,0.1,0.64,0.63,0.62,0.2,0.22,0.17,0.02,0.02,0.01,5.1,5.08,5.09,,,,0,0,0,5.0,3.0,2.0,4.2
SUMS_c45b3,SMC,15.9165,-72.0426,B-E,18.95,0.13,19.05,0.21,18.92,0.2,19.287063684656456,0.052,19.0305260924053,0.047,19.61329879298842,0.122,19.851399283711125,0.079,0.01,,,0.43,0.41,0.43,0.17,0.27,0.24,0.03,0.01,0.02,2.96,2.95,2.96,1.0,1.0,1.0,0,0,0,3.0,1.0,1.0,0.4
SUMS_c45b5,SMC,15.916605,-72.108,B-G,19.03,0.08,18.84,0.15,19.26,0.14,19.145063684656456,0.063,18.9335260924053,0.037,19.15329879298842,0.0559999999999999,19.832399283711126,0.065,0.02,,0.06,0.28,0.3,0.23,0.19,0.24,0.22,0.03,0.03,0.02,2.7,2.71,2.67,2.0,2.0,2.0,0,0,0,4.0,1.0,3.0,2.5
SUMS_c45cb,SMC,15.917204999999996,-72.04115,B-E,18.55,0.07,18.51,0.14,18.63,0.12,18.863063684656456,0.047,18.7155260924053,0.039,19.04429879298842,0.053,19.648399283711125,0.071,0.09,,0.04,0.76,0.77,0.71,0.16,0.21,0.23,0.04,0.01,0.02,5.21,5.25,5.25,,,,0,0,0,4.0,1.0,2.0,0.6
SUMS_c4696,SMC,15.922635,-72.07630999999998,B-G,19.07,0.09,18.66,0.18,18.92,0.16,19.299063684656456,0.0559999999999999,19.0805260924053,0.048,19.41029879298842,0.068,19.66039928371113,0.08,0.06,,0.19,0.16,0.21,0.18,0.24,0.24,0.24,0.01,0.01,0.01,4.58,4.61,4.61,1.0,1.0,1.0,0,0,0,6.0,1.0,2.0,6.7
SUMS_c46c1,SMC,15.92397,-72.02731,VB-G,19.07,0.09,,,18.92,0.12,19.413063684656457,0.076,19.2005260924053,0.094,20.32129879298842,,19.81739928371113,0.074,0.06,,0.08,0.13,,0.17,0.2,,0.27,0.01,,0.02,3.56,,3.65,1.0,,1.0,0,0,0,4.0,,2.0,3.4
SUMS_c46d9,SMC,15.92445,-72.29373000000002,B-E,16.49,0.02,16.4,0.02,16.6,0.02,,,17.259526092405302,0.119,17.52829879298842,0.133,18.231399283711124,0.182,0.12,0.3,0.16,0.57,0.62,0.55,0.06,0.06,0.07,0.32,0.25,0.28,1.09,1.07,1.1,3.0,3.0,3.0,1,1,1,9.0,7.0,7.0,0.1
SUMS_c4700,SMC,15.925365,-72.06213000000002,B-G,18.69,0.09,,,18.61,0.16,19.089063684656455,0.055,18.873526092405303,0.054,19.28129879298842,,19.76839928371113,0.132,0.05,,,0.41,,0.41,0.26,,0.28,0.05,,0.05,1.74,,1.77,1.0,,1.0,1,0,1,2.0,,1.0,0.8
SUMS_c473a,SMC,15.926654999999998,-72.06189,B-G,18.56,0.07,,,18.48,0.15,19.176063684656455,0.054,18.768526092405303,0.047,19.01329879298842,0.062,19.827399283711124,,0.15,,,0.38,,0.37,0.21,,0.24,0.04,,0.05,1.71,,1.77,2.0,,2.0,1,0,1,4.0,,1.0,45.4
SUMS_c473b,SMC,15.926654999999998,-72.02792,B-E,16.92,0.03,16.91,0.03,17.14,0.06,17.175063684656457,0.032,17.3075260924053,0.031,17.82829879298842,0.102,18.31239928371112,0.0409999999999999,0.04,0.04,0.0,0.84,0.84,0.8,0.06,0.08,0.14,0.07,0.05,0.03,3.56,3.68,3.65,2.0,2.0,2.0,0,0,0,5.0,4.0,3.0,0.7
SUMS_c47f5,SMC,15.931364999999998,-72.06184,VB-G,19.41,0.11,19.18,0.09,19.15,0.12,20.496063684656455,0.113,19.8745260924053,0.079,20.15929879298842,0.103,20.350399283711127,0.13,0.07,0.16,0.18,0.14,0.16,0.16,-0.1,-0.06,-0.07,0.01,0.01,0.01,3.4,3.37,3.41,4.0,4.0,4.0,0,0,0,5.0,5.0,4.0,1.4
SUMS_c4841,SMC,15.933135,-72.08041999999998,B-G,18.66,0.11,18.89,0.14,18.55,0.1,18.950063684656456,0.06,18.692526092405306,0.052,18.98029879298842,0.055,19.632399283711123,0.085,0.02,0.03,0.0,0.16,0.13,0.18,0.19,0.25,0.24,0.01,0.01,0.04,4.6,4.62,4.55,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,1.3
SUMS_c49dd,SMC,15.94278,-72.06358,VB-G,18.51,0.05,18.5,0.07,18.56,0.12,18.680063684656457,0.092,18.9495260924053,0.035,19.25929879298842,0.051,19.710399283711126,0.107,0.09,0.04,0.01,0.29,0.28,0.3,0.15,0.22,0.19,0.03,0.03,0.04,2.58,2.54,3.63,3.0,3.0,2.0,0,0,0,7.0,3.0,3.0,1.5
SUMS_c49f4,SMC,15.943469999999998,-72.07725,B-G,19.29,0.11,19.32,,19.34,0.22,19.396063684656458,0.095,19.3835260924053,0.078,18.79029879298842,0.1,20.316399283711124,0.11,0.21,,0.03,0.77,0.74,0.74,0.21,0.27,0.26,0.02,0.01,0.0,4.23,4.25,4.25,1.0,1.0,1.0,0,0,0,4.0,1.0,2.0,4.7
SUMS_c4b8c,SMC,15.952410000000002,-72.12073000000002,B-E,18.93,0.06,18.77,0.07,18.83,0.08,19.074063684656455,0.047,18.9065260924053,0.0409999999999999,19.10429879298842,0.1009999999999999,19.73039928371113,0.076,0.16,0.1,0.07,0.52,0.55,0.51,0.19,0.23,0.21,0.02,0.03,0.03,3.2,3.22,3.21,3.0,3.0,3.0,0,0,0,7.0,5.0,4.0,15.4
SUMS_c4bc8,SMC,15.953564999999998,-72.49374,B-G,17.32,0.03,17.21,0.03,17.35,0.03,17.731063684656455,0.064,17.896526092405303,0.034,17.34929879298842,0.066,18.839399283711124,0.07,0.07,0.1,0.02,0.49,0.5,0.47,0.06,0.07,0.08,0.1,0.12,0.11,2.84,2.84,2.9,3.0,3.0,3.0,0,0,0,4.0,4.0,5.0,0.0
SUMS_c4bf3,SMC,15.954479999999998,-72.05933,B-G,19.07,0.13,,,18.91,0.2,19.385063684656455,0.059,19.137526092405302,0.039,19.332298792988414,0.047,20.014399283711125,0.081,0.1,,,0.35,,0.38,0.22,,0.29,0.02,,0.01,5.33,,5.36,,,,0,0,0,3.0,,1.0,2.1
SUMS_c4d53,SMC,15.962475,-71.96715999999998,B-G,19.31,0.09,19.18,0.12,19.18,0.12,19.457063684656458,0.0559999999999999,19.2865260924053,0.149,19.51929879298842,0.046,20.043399283711125,0.0579999999999999,0.08,0.0,0.1,0.1,0.1,0.11,0.15,0.19,0.17,0.02,0.02,0.02,3.26,3.26,3.24,2.0,2.0,2.0,0,0,0,3.0,2.0,2.0,0.4
SUMS_c4e6c,SMC,15.96822,-72.07635,VB-E,19.55,0.13,19.39,0.14,19.29,0.18,19.794063684656457,0.076,19.503526092405306,0.06,19.82729879298842,0.06,20.490399283711124,0.145,0.05,0.05,,0.55,0.56,0.51,0.14,0.18,0.21,0.01,0.02,0.03,3.35,3.35,3.36,2.0,2.0,2.0,0,0,0,3.0,2.0,1.0,1.3
SUMS_c4ed6,SMC,15.97026,-72.46909000000002,B-E,19.39,0.11,,,19.49,0.16,19.566063684656456,0.087,19.3655260924053,0.074,19.51429879298842,0.062,20.29739928371113,0.12,0.03,,,0.62,,0.65,0.26,,0.17,0.02,,0.04,4.59,,4.61,1.0,,1.0,0,0,0,2.0,,1.0,1.5
SUMS_c4f32,SMC,15.972089999999998,-72.04207,VB-G,19.39,0.11,19.19,,19.07,0.22,19.098063684656456,0.148,19.5685260924053,0.115,20.17629879298842,0.201,19.938399283711124,0.136,0.07,,,0.36,0.41,0.42,0.16,0.19,0.27,0.02,0.01,0.03,1.7,1.68,1.71,3.0,3.0,3.0,1,1,1,4.0,1.0,1.0,5.2
SUMS_c50bf,SMC,15.980625,-72.0796,VB-G,19.5,0.12,19.61,0.13,19.26,,19.824063684656455,0.122,19.8245260924053,0.096,19.70529879298842,0.067,20.35839928371113,0.107,0.28,0.21,,0.33,0.26,0.4,0.08,0.19,0.2,0.0,0.0,0.01,1.88,1.89,1.9,4.0,4.0,2.0,2,2,1,4.0,4.0,1.0,15.7
SUMS_c538e,SMC,15.998595000000002,-72.38856,B-G,19.44,0.12,19.09,0.12,19.17,0.09,19.396063684656458,0.067,19.2405260924053,0.046,19.32529879298842,0.048,19.86139928371113,0.076,,,0.03,0.11,0.14,0.13,0.16,0.22,0.15,0.04,0.02,0.02,2.58,2.63,2.6,2.0,2.0,2.0,0,0,0,1.0,1.0,3.0,0.9
SUMS_c540f,SMC,16.001985,-72.27852,VB-E,17.75,0.02,17.82,0.04,17.97,0.04,18.462063684656457,0.098,18.855526092405302,0.031,19.20329879298842,0.062,20.036399283711127,0.0819999999999999,0.06,0.1,0.09,0.65,0.62,0.6,0.11,0.13,0.12,0.06,0.07,0.02,2.41,2.39,2.4,3.0,3.0,3.0,1,1,1,8.0,5.0,6.0,3.3
SUMS_c54d9,SMC,16.007565,-72.41104,B-E,15.72,0.02,15.7,0.03,15.81,0.02,16.061063684656457,0.0289999999999999,16.3165260924053,0.018,16.60929879298842,0.0279999999999999,17.468399283711125,0.035,0.02,0.01,0.01,0.96,0.95,0.94,0.05,0.05,0.05,0.13,0.09,0.1,3.97,4.05,3.99,1.0,1.0,1.0,0,0,0,5.0,4.0,4.0,0.5
SUMS_c5918,SMC,16.037235,-72.01603,B-E,14.83,0.02,14.88,0.02,15.02,0.03,15.396063684656458,0.0289999999999999,15.5665260924053,0.023,15.93729879298842,0.027,16.694399283711125,0.07,0.02,0.03,0.02,1.0,1.0,1.0,0.02,0.03,0.04,0.13,0.15,0.12,4.86,4.85,4.96,1.0,1.0,1.0,0,0,0,5.0,4.0,3.0,0.2
SUMS_c644f,SMC,16.12872,-72.18154,B-G,18.83,0.08,18.51,0.1,19.02,0.18,18.844063684656454,0.04,18.7415260924053,0.0289999999999999,18.91829879298842,0.039,19.683399283711125,0.065,0.04,,,0.15,0.18,0.14,0.18,0.14,0.29,0.05,0.01,0.02,2.85,2.92,2.95,4.0,4.0,4.0,0,0,0,2.0,1.0,1.0,3.4
SUMS_c696a,SMC,16.17201,-72.18943,B-G,19.16,0.09,19.13,0.11,19.05,0.13,19.012063684656457,0.048,19.210526092405303,0.045,18.56829879298843,0.069,19.998399283711127,0.111,0.1,0.16,0.05,0.85,0.86,0.83,0.07,0.11,0.12,0.02,0.02,0.03,4.36,4.39,4.37,1.0,1.0,1.0,0,0,0,3.0,2.0,2.0,4.0
SUMS_c69ba,SMC,16.175025,-72.82217,B-G,19.6,0.1,19.32,0.14,19.36,0.14,19.515063684656457,0.059,19.265526092405302,0.031,19.515298792988418,0.047,20.126399283711127,0.09,0.07,,0.01,0.26,0.29,0.27,-0.13,0.19,0.24,0.04,0.04,0.01,3.85,3.84,3.82,2.0,2.0,2.0,0,0,0,3.0,1.0,3.0,0.5
SUMS_c6c20,SMC,16.194960000000002,-72.10851,B-E,18.11,0.04,18.08,0.09,18.2,0.1,18.518063684656457,0.04,18.4265260924053,0.032,18.72529879298842,0.042,19.40739928371113,0.063,0.16,,,0.68,0.71,0.68,0.23,0.3,0.25,0.03,0.04,0.06,4.86,4.91,4.86,1.0,1.0,1.0,0,0,0,4.0,1.0,1.0,2.6
SUMS_c7098,SMC,16.233689999999996,-72.26890999999998,B-G,17.51,0.03,17.51,0.06,17.63,0.05,17.843063684656457,0.043,17.832526092405296,0.027,18.123298792988415,0.05,18.732399283711125,0.049,0.01,0.01,0.12,0.27,0.25,0.24,0.11,0.1,0.16,0.02,0.03,0.04,2.58,2.72,2.66,3.0,3.0,3.0,0,0,0,3.0,3.0,2.0,2.0
SUMS_c7252,SMC,16.247925,-72.45123000000002,VB-E,19.34,0.06,19.16,0.06,19.27,0.06,19.853063684656455,0.06,19.396526092405303,0.095,19.63829879298842,0.077,20.301399283711124,0.123,0.14,0.14,0.16,0.45,0.44,0.44,0.18,0.27,0.22,0.01,0.02,0.02,3.04,3.05,3.05,2.0,2.0,2.0,0,0,0,7.0,5.0,9.0,2.9
SUMS_c72a0,SMC,16.250670000000003,-72.43948,B-G,17.88,0.03,17.75,0.03,17.87,0.03,18.57906368465645,0.086,18.407526092405305,0.091,18.53729879298842,0.052,19.190399283711127,0.067,0.21,0.19,0.15,0.35,0.37,0.34,0.08,0.11,0.1,0.04,0.04,0.04,1.58,1.47,1.48,1.0,1.0,1.0,1,1,1,8.0,7.0,8.0,1.9
SUMS_c740c,SMC,16.26264,-71.93916,B-G,19.28,0.09,18.99,0.07,18.77,0.07,19.167063684656455,0.059,18.9595260924053,0.044,19.399298792988414,0.083,20.112399283711124,0.173,0.01,0.06,0.0,0.18,0.19,0.18,0.11,0.23,0.19,0.03,0.04,0.05,2.87,2.83,2.68,3.0,3.0,4.0,0,0,0,3.0,3.0,3.0,3.1
SUMS_c7442,SMC,16.264155,-72.39010999999998,B-E,15.16,0.03,15.22,0.03,15.36,0.03,15.664063684656458,0.0289999999999999,15.9435260924053,0.039,16.21329879298842,0.047,17.016399283711124,0.03,0.02,0.01,0.01,0.97,0.96,0.95,0.02,0.02,0.03,0.17,0.16,0.18,3.21,3.3,3.23,1.0,2.0,2.0,0,0,0,2.0,2.0,2.0,0.9
