SUMS_ID,Galaxy,RA,Dec,Ranking,UVW2,UVW2_err,UVM2,UVM2_err,UVW1,UVW1_err,U,U_err,B,B_err,V,V_err,I,I_err,UVW2_std,UVM2_std,UVW1_std,UVW2_flux_frac,UVM2_flux_frac,UVW1_flux_frac,UVW2_resid_frac,UVM2_resid_frac,UVW1_resid_frac,UVW2_dist_moved,UVM2_dist_moved,UVW1_dist_moved,UVW2_dist_neighbor,UVM2_dist_neighbor,UVW1_dist_neighbor,UVW2_n5,UVM2_n5,UVW1_n5,UVW2_n2p5,UVM2_n2p5,UVW1_n2p5,UVW2_nobs,UVM2_nobs,UVW1_nobs,Gaia_chi2
SUMS_b9c8e,SMC,14.811255,-72.1672,VB-G,18.79,0.1,19.03,0.14,18.91,0.12,19.505063684656456,0.076,19.6195260924053,0.048,19.32629879298842,0.074,20.264399283711125,0.121,0.01,0.0,0.09,0.2,0.1,0.13,0.13,0.17,0.21,0.04,0.02,0.04,2.81,2.87,2.85,5.0,5.0,5.0,0,0,0,4.0,3.0,3.0,1.3
SUMS_b9cd0,SMC,14.81241,-72.2091,B-G,19.5,0.12,19.22,0.19,19.33,0.16,19.656063684656456,0.123,19.2445260924053,0.047,19.63429879298842,0.139,19.891399283711124,0.106,0.1,0.12,0.07,0.24,0.3,0.25,0.16,0.27,0.2,0.03,0.01,0.01,3.46,3.44,3.45,3.0,3.0,3.0,0,0,0,2.0,2.0,2.0,1.7
SUMS_b9f37,SMC,14.8272,-72.17769,B-E,17.75,0.09,17.62,0.1,,,18.154063684656457,0.047,18.140526092405302,0.046,18.49129879298842,0.083,18.85239928371113,0.069,,,,0.61,0.64,,0.3,0.28,,0.06,0.04,,3.86,3.86,,1.0,1.0,,0,0,0,1.0,1.0,,0.5
SUMS_b9f84,SMC,14.828715,-72.20621,B-G,19.31,0.12,19.25,,19.31,0.13,19.444063684656456,0.07,19.393526092405303,0.05,19.22629879298842,0.053,20.159399283711124,0.098,0.11,,0.11,0.59,0.69,0.68,0.21,0.13,0.22,0.02,0.01,0.02,2.63,2.63,2.64,2.0,2.0,2.0,0,0,0,3.0,1.0,4.0,1.0
SUMS_ba565,SMC,14.863215,-72.21406999999998,B-G,19.49,0.14,19.39,0.15,19.29,0.21,19.771063684656458,0.098,19.4335260924053,0.04,19.77829879298842,0.0819999999999999,20.062399283711127,0.073,,0.03,,0.2,0.22,0.26,0.06,0.19,0.04,0.03,0.01,0.01,3.47,3.51,3.51,4.0,4.0,4.0,0,0,0,1.0,2.0,1.0,4.7
SUMS_ba8f0,SMC,14.884095,-72.15695,VB-G,19.61,,19.54,0.21,19.25,0.21,20.465063684656457,0.129,20.0805260924053,0.079,20.22329879298842,0.0969999999999999,20.72739928371113,0.165,,0.01,,0.33,0.4,0.4,0.01,0.19,-0.04,0.01,0.01,0.01,3.92,3.92,3.93,3.0,3.0,3.0,0,0,0,1.0,2.0,1.0,5.9
SUMS_baa62,SMC,14.892554999999998,-72.17175,B-G,18.81,0.15,,,18.77,0.11,18.961063684656455,0.094,19.3795260924053,0.085,19.181298792988414,0.08,19.60239928371113,0.069,0.03,,0.03,0.18,,0.18,0.23,,0.29,0.02,,0.03,2.71,,2.71,2.0,,2.0,0,0,0,2.0,,3.0,4.4
SUMS_babaa,SMC,14.900415,-72.14508000000002,B-E,18.87,0.11,18.96,0.12,18.84,0.14,19.368063684656455,0.0819999999999999,19.009526092405306,0.064,19.43229879298842,0.131,19.728399283711124,0.073,0.02,0.13,0.01,0.97,0.99,1.0,0.17,0.18,0.12,0.03,0.02,0.01,5.32,5.35,7.84,,,,0,0,0,2.0,4.0,2.0,0.4
SUMS_bb104,SMC,14.936145000000002,-72.12311,B-E,18.98,0.21,18.68,0.12,18.8,0.13,18.711063684656455,0.053,18.826526092405302,0.068,19.27229879298842,0.104,19.75939928371113,0.0819999999999999,,0.13,0.03,0.99,0.99,0.99,0.22,0.24,0.18,0.01,0.03,0.03,6.9,6.92,6.91,,,,0,0,0,1.0,2.0,2.0,2.1
SUMS_bb21e,SMC,14.942475,-72.75513000000002,VB-G,19.57,0.12,,,19.38,0.19,,,20.038526092405306,0.1,19.91129879298842,0.069,20.658399283711127,0.136,0.01,,,0.22,,0.25,0.14,,0.29,0.02,,0.01,3.54,,3.57,3.0,,3.0,0,0,0,2.0,,1.0,
